title,"count TW","count total",key,publisher,url
"Fungi Collection in BCRC",1659,3330,e355bd5a-8ed9-4498-9bb6-4b0dcbdc5d09,"Bioresource Collection and Research Center (BCRC)",https://www.gbif.org/dataset/e355bd5a-8ed9-4498-9bb6-4b0dcbdc5d09
"UAFMC Herps",1,3207,9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,"University of Arkansas Collections Facility, UAFMC",https://www.gbif.org/dataset/9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552
"Kyoto University Reptile Collection",278,3183,fe34f771-4df6-4f07-910b-12948dde2180,"National Institute of Genetics, ROIS",https://www.gbif.org/dataset/fe34f771-4df6-4f07-910b-12948dde2180
AlgaTerra,1,3131,7a22e1e4-f762-11e1-a439-00145eb45e9a,"Botanic Garden and Botanical Museum Berlin-Dahlem",https://www.gbif.org/dataset/7a22e1e4-f762-11e1-a439-00145eb45e9a
"(Table 5) Percentages of planktonic foraminiferal taxa from the 161 surface-sediment samples from the South China Sea and the western Pacific",214,3122,870c096c-f762-11e1-a439-00145eb45e9a,"PANGAEA - Publishing Network for Geoscientific and Environmental Data",https://www.gbif.org/dataset/870c096c-f762-11e1-a439-00145eb45e9a
"Platyhelminth collection of National Museum of Nature and Science",4,3085,6c827f0d-9371-447b-b42b-199ad19bdb64,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/6c827f0d-9371-447b-b42b-199ad19bdb64
"GSPB Prokarya Catalogue",4,3012,7a5bf4e8-f762-11e1-a439-00145eb45e9a,"Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures",https://www.gbif.org/dataset/7a5bf4e8-f762-11e1-a439-00145eb45e9a
"UTEX Culture Collection of Algae at The University of Texas Living Algae Holdings",1,2813,70fc5154-6019-4d96-b9a7-fdce469d0260,"Culture Collection of Algae at University of Texas at Austin",https://www.gbif.org/dataset/70fc5154-6019-4d96-b9a7-fdce469d0260
"Insect speciments of Sugadaira Montane Research Center, University of Tsukuba",2,2791,519ef273-f2d9-47fd-bcbf-5451c33ab8d1,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/519ef273-f2d9-47fd-bcbf-5451c33ab8d1
"Swiss Psyllid (Hemiptera) Collections - Basel",4,2656,82ac3414-f762-11e1-a439-00145eb45e9a,"Naturhistorisches Museum Basel - NMB",https://www.gbif.org/dataset/82ac3414-f762-11e1-a439-00145eb45e9a
"DSMZ Collection of Filamentous Fungi and Yeasts",6,2438,82757db6-f762-11e1-a439-00145eb45e9a,"Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures",https://www.gbif.org/dataset/82757db6-f762-11e1-a439-00145eb45e9a
"Diptera collection of National Museum of Nature and Science",30,2413,6018941d-c361-456d-a615-c3d34a033f6f,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/6018941d-c361-456d-a615-c3d34a033f6f
"Herpetological specimens of Okinawa Prefectural Museum & Art Museum",36,2381,4487d0be-178f-412f-b2fc-bb4aabcd867a,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/4487d0be-178f-412f-b2fc-bb4aabcd867a
"Mollusca specimens of Manazuru Shell Museum",25,2346,ad66f5d0-f485-4d27-905e-3328a0f951fe,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/ad66f5d0-f485-4d27-905e-3328a0f951fe
"Type Specimen Database of Museum and Institute of Zoology PAS",66,2340,1757e800-9fcd-11da-a90d-b8a03c50a862,"Museum and Institute of Zoology, Polish Academy of Sciences",https://www.gbif.org/dataset/1757e800-9fcd-11da-a90d-b8a03c50a862
"Seaweed (Plantae) Collection of the Seto Marine Biological Laboratory, Kyoto University",1,2330,53687028-18f5-11e2-98fb-00145eb45e9a,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/53687028-18f5-11e2-98fb-00145eb45e9a
"Gothenburg Herbarium - Types (GBIF:IH:GB:Herbarium)",1,2217,400b65c0-0c62-11dd-84cf-b8a03c50a862,GBIF-Sweden,https://www.gbif.org/dataset/400b65c0-0c62-11dd-84cf-b8a03c50a862
